write_time,experiment_name,experiment_version,participant_id,participant_session,participant_age,participant_gender,trial_py_version,type,target_ans,participant_ans,time_start,time_stimulus_start,time_stimulus_end,time_response_enabled,time_response_submitted,time_response_disabled,time_trial_logged
2020-03-26T17:44:17.849099,ExperimentTaskSwitch,v0.0.4,louis_pilot,1,24,m,v0.0.1,TrialSpatialRotation,0,0,533.3792338,533.3792338,539.5966082,539.8479364,542.0301037,547.430666,547.430666
2020-03-26T17:44:31.483651,ExperimentTaskSwitch,v0.0.4,louis_pilot,1,24,m,v0.0.1,TrialSpatialRotation,1,1,547.9053984,547.9053984,554.1167934,554.3761001,556.1194696,561.0652175,561.0652175
2020-03-26T17:44:46.977231,ExperimentTaskSwitch,v0.0.4,louis_pilot,1,24,m,v0.0.1,TrialSpatialRotation,1,1,561.5718722,561.5718722,567.7802651,568.04057,570.7004602,576.5587976,576.5587976
2020-03-26T17:45:01.340833,ExperimentTaskSwitch,v0.0.4,louis_pilot,1,24,m,v0.0.1,TrialSpatialRotation,1,1,577.3267484,577.3267484,583.5610783,583.8183923,585.7741621,590.9223993,590.9223993
2020-03-26T17:45:14.467742,ExperimentTaskSwitch,v0.0.4,louis_pilot,1,24,m,v0.0.1,TrialSpatialRotation,2,2,591.5916185,591.5916185,597.8000138,598.0523405,599.4426227,604.0493088,604.0493088
2020-03-26T17:45:24.459031,ExperimentTaskSwitch,v0.0.4,louis_pilot,1,24,m,v0.0.1,TrialSpatialSpan,1,-1,604.5938542,604.5938542,610.7563777,611.0306447,-1,614.0405979,614.0405979
2020-03-26T17:45:37.485210,ExperimentTaskSwitch,v0.0.4,louis_pilot,1,24,m,v0.0.1,TrialSpatialSpan,2,2,614.6459813,614.6459813,620.8045173,621.0578384,622.4590929,627.0667763,627.0667763
2020-03-26T17:45:52.861185,ExperimentTaskSwitch,v0.0.4,louis_pilot,1,24,m,v0.0.1,TrialSpatialSpan,0,1,627.5943682,627.5943682,633.7319939,633.9843211,636.6152866,642.4427514,642.4427514
2020-03-26T17:46:08.440535,ExperimentTaskSwitch,v0.0.4,louis_pilot,1,24,m,v0.0.1,TrialSpatialSpan,0,2,643.009253,643.009253,649.1468294,649.3961613,652.0740027,658.0221014,658.0221014
2020-03-26T17:46:18.039873,ExperimentTaskSwitch,v0.0.4,louis_pilot,1,24,m,v0.0.1,TrialSpatialSpan,2,-1,658.2016256,658.2016256,664.3531768,664.6074972,-1,667.6214399,667.6214399
2020-03-26T17:46:33.612244,ExperimentTaskSwitch,v0.0.4,louis_pilot,1,24,m,v0.0.1,TrialSpatialSpan,0,0,668.5739119,668.5739119,674.7194641,674.9727879,677.4591408,683.1938102,683.1938102
2020-03-26T17:46:49.596513,ExperimentTaskSwitch,v0.0.4,louis_pilot,1,24,m,v0.0.1,TrialDigitSpan,1,1,687.2340226,687.2340226,691.8885665,692.1388969,694.0597632,699.1780794,699.1780794
2020-03-26T17:46:58.133691,ExperimentTaskSwitch,v0.0.4,louis_pilot,1,24,m,v0.0.1,TrialDigitSpan,0,-1,699.7685118,699.7685118,704.4370525,704.7043066,-1,707.7152569,707.7152569
2020-03-26T17:47:09.418523,ExperimentTaskSwitch,v0.0.4,louis_pilot,1,24,m,v0.0.1,TrialDigitSpan,1,1,707.9257104,707.9257104,712.5752659,712.8226035,714.3046415,719.0000896,719.0000896
2020-03-26T17:47:21.702684,ExperimentTaskSwitch,v0.0.4,louis_pilot,1,24,m,v0.0.1,TrialDigitSpan,0,0,720.0951824,720.0951824,724.7557032,725.0110214,726.5429265,731.2842505,731.2842505
2020-03-26T17:47:36.400392,ExperimentTaskSwitch,v0.0.4,louis_pilot,1,24,m,v0.0.1,TrialDigitSpan,1,1,731.9983943,731.9983943,736.6449196,736.8962476,739.8423736,745.9819591,745.9819591
2020-03-26T17:47:48.502041,ExperimentTaskSwitch,v0.0.4,louis_pilot,1,24,m,v0.0.1,TrialDigitSpan,0,0,746.1295717,746.1295717,750.7791369,751.0294659,752.9523261,758.0836077,758.0836077
2020-03-26T17:48:01.070444,ExperimentTaskSwitch,v0.0.4,louis_pilot,1,24,m,v0.0.1,TrialDigitSpan,0,0,758.5473714,758.5473714,763.1969388,763.4462714,765.4449289,770.6520104,770.6520104
2020-03-26T17:48:14.465633,ExperimentTaskSwitch,v0.0.4,louis_pilot,1,24,m,v0.0.1,TrialDigitSpan,2,2,771.4588833,771.4588833,776.1183963,776.3727155,778.6037509,784.0472,784.0472
2020-03-26T17:48:30.493785,ExperimentTaskSwitch,v0.0.4,louis_pilot,1,24,m,v0.0.1,TrialSpatialRotation,1,1,784.5807788,784.5807788,790.798152,791.0424995,793.9577072,800.0753517,800.0753517
2020-03-26T17:48:45.403926,ExperimentTaskSwitch,v0.0.4,louis_pilot,1,24,m,v0.0.1,TrialSpatialRotation,2,2,801.1444943,801.1444943,807.3538938,807.6002355,809.6966314,814.9854925,814.9854925
2020-03-26T17:48:59.177106,ExperimentTaskSwitch,v0.0.4,louis_pilot,1,24,m,v0.0.1,TrialSpatialRotation,1,1,815.3964076,815.3964076,821.6217518,821.8780665,823.7141578,828.7586725,828.7586725
2020-03-26T17:49:09.479565,ExperimentTaskSwitch,v0.0.4,louis_pilot,1,24,m,v0.0.1,TrialSpatialRotation,0,-1,829.6044159,829.6044159,835.8028431,836.0491831,-1,839.0611312,839.0611312
