auto_participant_id,participant_id,participant_age,participant_gender,view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,blueprint_id,check_times,responses,start_time,end_time,stimulus_on,stimulus_off,response_enabled_time,response_time,response_answer,answer_index,response_correct,trial_task_type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712_62123,1,36,Female,NULL,NULL,ts-info-card,66,442333,0.0-66.0,2020-06-01_blueprint_a8ac75a61d70598951af70a55c22ef89.json,NULL,NULL,442564,443066,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712_62123,1,36,Female,NULL,NULL,ts-trial,67,448488,0.0-67.0,2020-06-01_blueprint_a8ac75a61d70598951af70a55c22ef89.json,NULL,NULL,NULL,NULL,443067,"[443572,444070,444569,445068,445568,446070]",446219,NULL,NULL,1,NULL,ts-trial-spatial-span,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712_62123,1,36,Female,NULL,NULL,ts-trial,69,455280,0.0-69.0,2020-06-01_blueprint_a8ac75a61d70598951af70a55c22ef89.json,NULL,NULL,NULL,NULL,449859,"[450363,450864,451361,451862,452363,452861]",453011,NULL,NULL,0,NULL,ts-trial-spatial-span,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712_62123,1,36,Female,NULL,NULL,ts-trial,71,462014,0.0-71.0,2020-06-01_blueprint_a8ac75a61d70598951af70a55c22ef89.json,NULL,NULL,NULL,NULL,456592,"[457094,457594,458093,458597,459093,459595]",459744,NULL,NULL,0,NULL,ts-trial-spatial-span,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712_62123,1,36,Female,NULL,NULL,ts-trial,73,468282,0.0-73.0,2020-06-01_blueprint_a8ac75a61d70598951af70a55c22ef89.json,NULL,NULL,NULL,NULL,462858,"[463360,463862,464360,464863,465364,465863]",466014,NULL,NULL,2,NULL,ts-trial-spatial-span,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712_62123,1,36,Female,NULL,NULL,ts-trial,75,474789,0.0-75.0,2020-06-01_blueprint_a8ac75a61d70598951af70a55c22ef89.json,NULL,NULL,NULL,NULL,469365,"[469868,470368,470869,471366,471866,472370]",472521,NULL,NULL,2,NULL,ts-trial-spatial-span,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712_62123,1,36,Female,NULL,NULL,ts-trial,77,481133,0.0-77.0,2020-06-01_blueprint_a8ac75a61d70598951af70a55c22ef89.json,NULL,NULL,NULL,NULL,475703,"[476204,476707,477204,477706,478203,478703]",478863,NULL,NULL,1,NULL,ts-trial-spatial-span,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712_62123,1,36,Female,NULL,NULL,ts-trial,79,487732,0.0-79.0,2020-06-01_blueprint_a8ac75a61d70598951af70a55c22ef89.json,NULL,NULL,NULL,NULL,482315,"[482817,483316,483817,484320,484816,485316]",485467,NULL,NULL,0,NULL,ts-trial-spatial-span,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283.00000000000006_59779,6525710,20,Female,NULL,NULL,ts-info-card,4,58270,0.0-4.0,2020-06-08_blueprint_4a1eb7bb9ca8df26499a32ddc418f82a.json,NULL,NULL,58054,58555,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283.00000000000006_59779,6525710,20,Female,NULL,NULL,ts-trial,5,64432,0.0-5.0,2020-06-08_blueprint_4a1eb7bb9ca8df26499a32ddc418f82a.json,NULL,NULL,NULL,NULL,58558,"[59064,59563,60062.00000000001,60562.00000000001,61062.00000000001,61561]",61716,63924,1,1,1,ts-trial-spatial-rotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283.00000000000006_59779,6525710,20,Female,NULL,NULL,ts-trial,7,71521,0.0-7.0,2020-06-08_blueprint_4a1eb7bb9ca8df26499a32ddc418f82a.json,NULL,NULL,NULL,NULL,65643,"[66150,66649,67148,67649,68149,68648]",68802,NULL,NULL,2,NULL,ts-trial-spatial-rotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283.00000000000006_59779,6525710,20,Female,NULL,NULL,ts-trial,9,77794,0.0-9.0,2020-06-08_blueprint_4a1eb7bb9ca8df26499a32ddc418f82a.json,NULL,NULL,NULL,NULL,71914,"[72420,72919,73418,73918,74418,74917]",75073,76519,2,0,,ts-trial-spatial-rotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283.00000000000006_59779,6525710,20,Female,NULL,NULL,ts-trial,11,84753,0.0-11.0,2020-06-08_blueprint_4a1eb7bb9ca8df26499a32ddc418f82a.json,NULL,NULL,NULL,NULL,78874,"[79380,79880,80379,80879,81378,81877]",82031,84114,0,2,,ts-trial-spatial-rotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283.00000000000006_59779,6525710,20,Female,NULL,NULL,ts-trial,13,91103,0.0-13.0,2020-06-08_blueprint_4a1eb7bb9ca8df26499a32ddc418f82a.json,NULL,NULL,NULL,NULL,85224,"[85728.00000000001,86228.00000000001,86728.00000000001,87227,87726,88226]",88381,91050,2,1,,ts-trial-spatial-rotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283.00000000000006_59779,6525710,20,Female,NULL,NULL,ts-trial,15,97411,0.0-15.0,2020-06-08_blueprint_4a1eb7bb9ca8df26499a32ddc418f82a.json,NULL,NULL,NULL,NULL,91531,"[92036,92536,93035,93535,94034,94533]",94688,96368,0,0,1,ts-trial-spatial-rotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283.00000000000006_59779,6525710,20,Female,NULL,NULL,ts-info-card,16,97914,0.0-16.0,2020-06-08_blueprint_4a1eb7bb9ca8df26499a32ddc418f82a.json,NULL,NULL,97691,98193,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283.00000000000006_59779,6525710,20,Female,NULL,NULL,ts-trial,17,102573,0.0-17.0,2020-06-08_blueprint_4a1eb7bb9ca8df26499a32ddc418f82a.json,NULL,NULL,NULL,NULL,98195,"[98449,98699,98948.00000000001,99198.00000000001,99447,99697]",99850,101306,2,2,1,ts-trial-digit-span,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283.00000000000006_59779,6525710,20,Female,NULL,NULL,ts-trial,19,107763,0.0-19.0,2020-06-08_blueprint_4a1eb7bb9ca8df26499a32ddc418f82a.json,NULL,NULL,NULL,NULL,103382,"[103638,103887,104136,104386,104635,104885]",105040,106473,0,0,1,ts-trial-digit-span,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283.00000000000006_59779,6525710,20,Female,NULL,NULL,ts-trial,21,113006,0.0-21.0,2020-06-08_blueprint_4a1eb7bb9ca8df26499a32ddc418f82a.json,NULL,NULL,NULL,NULL,108627,"[108880,109130,109379,109629,109878,110129]",110283,111900,0,0,1,ts-trial-digit-span,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283.00000000000006_59779,6525710,20,Female,NULL,NULL,ts-trial,23,117886,0.0-23.0,2020-06-08_blueprint_4a1eb7bb9ca8df26499a32ddc418f82a.json,NULL,NULL,NULL,NULL,113506,"[113760,114010,114260,114508,114758,115009]",115162,117332,2,2,1,ts-trial-digit-span,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283.00000000000006_59779,6525710,20,Female,NULL,NULL,ts-trial,25,123313,0.0-25.0,2020-06-08_blueprint_4a1eb7bb9ca8df26499a32ddc418f82a.json,NULL,NULL,NULL,NULL,118931,"[119186,119436,119685,119935,120184,120433]",120588,123201,1,1,1,ts-trial-digit-span,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283.00000000000006_59779,6525710,20,Female,NULL,NULL,ts-trial,27,128619,0.0-27.0,2020-06-08_blueprint_4a1eb7bb9ca8df26499a32ddc418f82a.json,NULL,NULL,NULL,NULL,124238,"[124493.00000000001,124742,124992,125241,125490.00000000001,125740.00000000001]",125894,128703,2,2,1,ts-trial-digit-span,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283.00000000000006_59779,6525710,20,Female,NULL,NULL,ts-trial,29,133567,0.0-29.0,2020-06-08_blueprint_4a1eb7bb9ca8df26499a32ddc418f82a.json,NULL,NULL,NULL,NULL,129185,"[129440,129689,129939,130188.00000000001,130438.00000000001,130688.00000000001]",130842,132800,2,2,1,ts-trial-digit-span,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283.00000000000006_59779,6525710,20,Female,NULL,NULL,ts-info-card,30,137569,0.0-30.0,2020-06-08_blueprint_4a1eb7bb9ca8df26499a32ddc418f82a.json,NULL,NULL,133846,137847,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283.00000000000006_59779,6525710,20,Female,NULL,NULL,ts-trial,31,143731,0.0-31.0,2020-06-08_blueprint_4a1eb7bb9ca8df26499a32ddc418f82a.json,NULL,NULL,NULL,NULL,137848,"[138354,138853,139353,139852,140351,140851]",141006,142800,2,2,1,ts-trial-spatial-rotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283.00000000000006_59779,6525710,20,Female,NULL,NULL,ts-trial,33,150309,0.0-33.0,2020-06-08_blueprint_4a1eb7bb9ca8df26499a32ddc418f82a.json,NULL,NULL,NULL,NULL,144427,"[144932.00000000003,145431,145931,146430,146929,147428]",147584,149923,0,0,1,ts-trial-spatial-rotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283.00000000000006_59779,6525710,20,Female,NULL,NULL,ts-trial,35,157058,0.0-35.0,2020-06-08_blueprint_4a1eb7bb9ca8df26499a32ddc418f82a.json,NULL,NULL,NULL,NULL,151175,"[151681,152180,152680,153179,153678,154177]",154333,157176,2,2,1,ts-trial-spatial-rotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283.00000000000006_59779,6525710,20,Female,NULL,NULL,ts-trial,37,164004,0.0-37.0,2020-06-08_blueprint_4a1eb7bb9ca8df26499a32ddc418f82a.json,NULL,NULL,NULL,NULL,158122,"[158627,159125,159626,160125,160624,161124]",161278,164141,2,1,,ts-trial-spatial-rotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283.00000000000006_59779,6525710,20,Female,NULL,NULL,ts-trial,39,170406,0.0-39.0,2020-06-08_blueprint_4a1eb7bb9ca8df26499a32ddc418f82a.json,NULL,NULL,NULL,NULL,164523,"[165029,165528,166028,166526,167026,167525]",167680,170239,1,1,1,ts-trial-spatial-rotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283.00000000000006_59779,6525710,20,Female,NULL,NULL,ts-trial,41,177480,0.0-41.0,2020-06-08_blueprint_4a1eb7bb9ca8df26499a32ddc418f82a.json,NULL,NULL,NULL,NULL,171596,"[172101,172601,173101,173600,174100,174599]",174753,NULL,NULL,0,NULL,ts-trial-spatial-rotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283.00000000000006_59779,6525710,20,Female,NULL,NULL,ts-trial,43,184314,0.0-43.0,2020-06-08_blueprint_4a1eb7bb9ca8df26499a32ddc418f82a.json,NULL,NULL,NULL,NULL,178430,"[178935,179435,179934,180434,180933,181432.00000000003]",181587,182754,1,1,1,ts-trial-spatial-rotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283.00000000000006_59779,6525710,20,Female,NULL,NULL,ts-trial,45,191235,0.0-45.0,2020-06-08_blueprint_4a1eb7bb9ca8df26499a32ddc418f82a.json,NULL,NULL,NULL,NULL,185352,"[185857,186357,186856,187355,187854,188353]",188508,189544,0,2,,ts-trial-spatial-rotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283.00000000000006_59779,6525710,20,Female,NULL,NULL,ts-trial,47,198292,0.0-47.0,2020-06-08_blueprint_4a1eb7bb9ca8df26499a32ddc418f82a.json,NULL,NULL,NULL,NULL,192408,"[192914.00000000003,193413,193913,194412,194911,195410]",195566,196763,2,1,,ts-trial-spatial-rotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283.00000000000006_59779,6525710,20,Female,NULL,NULL,ts-info-card,48,202295,0.0-48.0,2020-06-08_blueprint_4a1eb7bb9ca8df26499a32ddc418f82a.json,NULL,NULL,198569,202570,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283.00000000000006_59779,6525710,20,Female,NULL,NULL,ts-trial,49,206958,0.0-49.0,2020-06-08_blueprint_4a1eb7bb9ca8df26499a32ddc418f82a.json,NULL,NULL,NULL,NULL,202572,"[202829,203078,203327,203576,203827,204076]",204231,207141,2,1,,ts-trial-digit-span,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283.00000000000006_59779,6525710,20,Female,NULL,NULL,ts-trial,51,212519,0.0-51.0,2020-06-08_blueprint_4a1eb7bb9ca8df26499a32ddc418f82a.json,NULL,NULL,NULL,NULL,208135,"[208390.00000000003,208640.00000000003,208889,209139,209388,209637]",209792,211873,1,0,,ts-trial-digit-span,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283.00000000000006_59779,6525710,20,Female,NULL,NULL,ts-trial,53,217586,0.0-53.0,2020-06-08_blueprint_4a1eb7bb9ca8df26499a32ddc418f82a.json,NULL,NULL,NULL,NULL,213203,"[213458,213707,213957,214206.00000000003,214455,214705]",214859,217011,2,0,,ts-trial-digit-span,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283.00000000000006_59779,6525710,20,Female,NULL,NULL,ts-trial,55,222777,0.0-55.0,2020-06-08_blueprint_4a1eb7bb9ca8df26499a32ddc418f82a.json,NULL,NULL,NULL,NULL,218392,"[218647,218897,219146.00000000003,219396.00000000003,219645,219894]",220049,222423,0,0,1,ts-trial-digit-span,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283.00000000000006_59779,6525710,20,Female,NULL,NULL,ts-trial,57,228519,0.0-57.0,2020-06-08_blueprint_4a1eb7bb9ca8df26499a32ddc418f82a.json,NULL,NULL,NULL,NULL,224134,"[224389,224639,224888,225138,225387,225635]",225791,227132,0,0,1,ts-trial-digit-span,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283.00000000000006_59779,6525710,20,Female,NULL,NULL,ts-trial,59,234035,0.0-59.0,2020-06-08_blueprint_4a1eb7bb9ca8df26499a32ddc418f82a.json,NULL,NULL,NULL,NULL,229650,"[229904,230155,230403,230654,230903,231152.00000000003]",231307,233183,0,0,1,ts-trial-digit-span,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
