type,occurence,index_raw,participant_id,participant_age,participant_gender,time_start,participant_ans,target_ans,response_time,changed_shifted,switch_type,first_switch_rt,accuracy
TrialDigitSpan,1,36,henry_pilot,26,m,518.4757121,0,0,1.2107379,,none,,1
TrialDigitSpan,1,37,henry_pilot,26,m,531.1916862,0,0,0.8184008,,none,,1
TrialDigitSpan,1,38,henry_pilot,26,m,542.6418557,0,0,0.8972647,,none,,1
TrialDigitSpan,1,39,henry_pilot,26,m,555.155441,1,1,1.1904332,,none,,1
TrialDigitSpan,1,40,henry_pilot,26,m,567.9289429,1,1,1.7637775,,none,,1
TrialDigitSpan,1,90,henry_pilot,26,m,1386.029687,0,0,1.040115,,none,,1
TrialDigitSpan,1,37,jess_pilot,21,f,538.2617581,1,1,1.9566882,1,none,,1
TrialDigitSpan,1,38,jess_pilot,21,f,552.8163691,-1,0,,,none,,0
TrialDigitSpan,1,39,jess_pilot,21,f,563.0396426,0,0,1.3317549,,none,,1
TrialDigitSpan,1,40,jess_pilot,21,f,577.0076091,0,0,1.523212,,none,,1
TrialDigitSpan,1,41,jess_pilot,21,f,590.7757087,-1,0,,,none,,0
TrialDigitSpan,1,42,jess_pilot,21,f,601.4322698,0,0,1.790556,,none,,1
TrialDigitSpan,1,43,jess_pilot,21,f,615.8276775,2,2,1.6105065,,none,,1
TrialDigitSpan,1,44,jess_pilot,21,f,629.9279292,0,1,1.6239064,,none,,0
TrialDigitSpan,1,45,jess_pilot,21,f,643.5547025,2,2,1.7483952,,none,,1
TrialDigitSpan,1,46,jess_pilot,21,f,657.6206613,-1,2,,,none,,0
TrialDigitSpan,1,47,jess_pilot,21,f,668.3659139,1,1,2.2200944,,none,,1
TrialDigitSpan,1,48,jess_pilot,21,f,683.5258667,1,1,2.13134,,none,,1
TrialDigitSpan,1,49,jess_pilot,21,f,698.1360998,0,0,2.6962523,,none,,1
TrialDigitSpan,1,50,jess_pilot,21,f,714.6979313,0,0,2.5186851,,none,,1
TrialDigitSpan,1,51,jess_pilot,21,f,730.4964745,1,1,1.3932612,,none,,1
TrialDigitSpan,1,52,jess_pilot,21,f,743.6280375,-1,1,,,none,,0
TrialDigitSpan,1,106,jess_pilot,21,f,1646.49113,0,0,2.09117,,none,,1
TrialDigitSpan,1,22,pete_pilot,31,m,305.1947944,0,0,1.2464812,1,none,,1
TrialDigitSpan,1,23,pete_pilot,31,m,317.6837139,0,0,1.4503035,,none,,1
TrialDigitSpan,1,24,pete_pilot,31,m,331.2519612,0,0,0.9786074,,none,,1
TrialDigitSpan,1,25,pete_pilot,31,m,343.9247551,2,2,1.5807541,,none,,1
TrialDigitSpan,1,26,pete_pilot,31,m,357.0906315,0,0,1.3208492,,none,,1
TrialDigitSpan,1,27,pete_pilot,31,m,369.8924024,1,1,1.4031856,,none,,1
TrialDigitSpan,1,28,pete_pilot,31,m,383.1624019,0,0,1.5807545,,none,,1
TrialDigitSpan,1,29,pete_pilot,31,m,396.0792475,1,1,1.466177,,none,,1
TrialDigitSpan,1,30,pete_pilot,31,m,409.2634313,2,2,1.5013916,,none,,1
TrialDigitSpan,1,31,pete_pilot,31,m,422.8762736,2,2,1.8857927,,none,,1
TrialDigitSpan,1,32,pete_pilot,31,m,436.7107165,0,0,1.3823536,,none,,1
TrialDigitSpan,1,33,pete_pilot,31,m,449.8240142,2,2,1.0693777,,none,,1
TrialDigitSpan,1,34,pete_pilot,31,m,462.5811563,2,2,1.0991387,,none,,1
TrialDigitSpan,1,35,pete_pilot,31,m,474.7946689,0,0,1.006881,,none,,1
TrialDigitSpan,1,36,pete_pilot,31,m,487.0285089,2,2,1.501889,,none,,1
TrialDigitSpan,1,37,pete_pilot,31,m,500.0182688,0,0,0.7692967,,none,,1
TrialDigitSpan,1,38,pete_pilot,31,m,511.8455689,0,0,0.9949751,,none,,1
TrialDigitSpan,1,39,pete_pilot,31,m,524.5521049,2,2,1.4225288,,none,,1
TrialDigitSpan,1,40,pete_pilot,31,m,537.2353456,2,2,2.0152479,,none,,1
TrialDigitSpan,1,41,pete_pilot,31,m,551.9080515,1,1,1.2836504,,none,,1
TrialDigitSpan,1,59,pete_pilot,31,m,810.7179244,1,1,1.4691522,,none,,1
TrialDigitSpan,1,40,rahul_pilot,20,m,567.0882611,2,2,2.1908329,1,none,,1
TrialDigitSpan,1,41,rahul_pilot,20,m,582.0164161,0,0,2.3019379,,none,,1
TrialDigitSpan,1,42,rahul_pilot,20,m,597.3760443,2,2,1.855539,,none,,1
TrialDigitSpan,1,43,rahul_pilot,20,m,610.8990078,0,0,1.9899551,,none,,1
TrialDigitSpan,1,44,rahul_pilot,20,m,624.9050653,1,1,2.6049623,,none,,1
TrialDigitSpan,1,45,rahul_pilot,20,m,640.807812,1,1,1.5817439,,none,,1
TrialDigitSpan,1,46,rahul_pilot,20,m,654.2613957,0,0,1.8585119,,none,,1
TrialDigitSpan,1,47,rahul_pilot,20,m,668.4980412,1,1,2.0132961,,none,,1
TrialDigitSpan,1,48,rahul_pilot,20,m,682.9896748,2,2,2.3679076,,none,,1
TrialDigitSpan,1,49,rahul_pilot,20,m,697.7779281,0,0,2.3074274,,none,,1
TrialDigitSpan,1,50,rahul_pilot,20,m,712.4158933,0,0,1.9353921,,none,,1
TrialDigitSpan,1,51,rahul_pilot,20,m,726.6124225,1,1,1.7786262,,none,,1
TrialDigitSpan,1,52,rahul_pilot,20,m,740.9235198,1,1,2.2116639,,none,,1
TrialDigitSpan,1,53,rahul_pilot,20,m,755.576365,0,0,2.1824383,,none,,1
TrialDigitSpan,1,71,rahul_pilot,20,m,1128.305338,0,0,2.435859,,none,,1
TrialDigitSpan,1,2,rahul_testing1,20,m,19.67286706,2,2,1.79949116,1,none,1.9844983,1
TrialDigitSpan,2,125,aan_pilot,20,f,2063.823944,1,1,2.24093,1,none,,1
TrialDigitSpan,2,126,aan_pilot,20,f,2078.575995,1,1,2.23746,,none,,1
TrialDigitSpan,2,127,aan_pilot,20,f,2093.231315,0,0,2.830675,,none,,1
