index_raw,index,participant_id,block,type,target_ans,participant_ans,time_start,time_response_enabled,time_response_submitted,time_block,response_time,accuracy,changed,occurence
75,25,adrian_pilot,1,TrialSpatialSpan,1,1,1080.008958,1086.392489,1088.510884,13.457067,2.118395,1,0,4
76,0,adrian_pilot,2,TrialDigitSpan,2,2,1543.180756,1549.537383,1550.800945,17.217194,1.263562,1,1,4
77,1,adrian_pilot,2,TrialDigitSpan,0,0,1556.37604,1562.75457,1564.864123,13.195284,2.109553,1,0,4
78,2,adrian_pilot,2,TrialDigitSpan,0,0,1571.298453,1577.666228,1579.010288,14.922413,1.34406,1,0,4
79,3,adrian_pilot,2,TrialDigitSpan,0,0,1584.500999,1590.880688,1592.572226,13.202546,1.691538,1,0,4
80,4,adrian_pilot,2,TrialDigitSpan,0,0,1597.9275,1604.334172,1606.102178,13.426501,1.768006,1,0,4
81,5,adrian_pilot,2,TrialDigitSpan,2,2,1611.707346,1618.121754,1619.199567,13.779846,1.077813,1,0,4
82,6,adrian_pilot,2,TrialDigitSpan,1,1,1715.760873,1722.170442,1724.650341,15.352954,2.479899,1,1,5
83,7,adrian_pilot,2,TrialDigitSpan,0,0,1730.987153,1737.410109,1739.414387,15.22628,2.004278,1,0,5
84,8,adrian_pilot,2,TrialDigitSpan,2,2,1745.405136,1751.84328,1753.69759,14.417983,1.85431,1,0,5
85,9,adrian_pilot,2,TrialDigitSpan,2,2,1759.185904,1765.576266,1767.665702,13.780768,2.089436,1,0,5
86,10,adrian_pilot,2,TrialDigitSpan,0,0,1773.60343,1780.0182,1782.501694,14.417526,2.483494,1,0,5
87,11,adrian_pilot,2,TrialDigitSpan,0,0,1789.163639,1795.548378,1796.724785,15.560209,1.176407,1,0,5
88,12,adrian_pilot,2,TrialDigitSpan,1,1,1801.919259,1808.290004,1810.298853,12.75562,2.008849,1,0,5
89,13,adrian_pilot,2,TrialDigitSpan,2,2,1816.376628,1822.774731,1823.928915,14.457369,1.154184,1,0,5
90,14,adrian_pilot,2,TrialDigitSpan,2,2,1829.162781,1835.56969,1837.119581,12.786153,1.549891,1,0,5
