,participant_id,type,target_ans,participant_ans,time_start,time_response_enabled,time_response_submitted,time_block,response_time,accuracy,block,,Aan_DS_B1,Aan_DS_B2,Aan_DS_B3,Aan_DS_B4,,Aan_SS_B1,Aan_SS_B2,Aan_SS_B3,Aan_SS_B4,,Aan_SR_B1,Aan_SR_B2,Aan_SR_B3,Aan_SR_B4
87,aan_pilot,TrialSpatialSpan,2,2,1402.543778,1408.985309,1410.238206,10.51125646,1.252897024,1,2,,,,,,,,,,,,,,,
88,aan_pilot,TrialSpatialRotation,0,0,1415.225021,1421.709705,1424.282458,12.6812427,2.572752714,1,2,,,,,,,,,,,,,,,
89,aan_pilot,TrialSpatialRotation,1,1,1430.512752,1437.046038,1439.308792,15.28773117,2.26275444,1,2,,,,,,,,,,,,,,,
90,aan_pilot,TrialSpatialRotation,1,-1,1445.49542,1452.014341,-1,14.98266792,3,0,2,,,,,,,,,,,,,,,
91,aan_pilot,TrialSpatialRotation,1,1,1455.880172,1462.38571,1464.703519,10.3847518,2.317808867,1,2,,,,,,,,,,,,,,,
92,aan_pilot,TrialSpatialRotation,2,2,1470.690771,1477.215131,1479.712492,14.81059909,2.497361183,1,2,,,,,,,,,,,,,,,
93,aan_pilot,TrialSpatialRotation,1,1,1485.855484,1492.354055,1494.861339,15.16471291,2.507283688,1,2,,,,,,,,,,,,,,,
94,aan_pilot,TrialSpatialRotation,0,0,1501.343597,1507.870935,1510.538423,15.48811316,2.667488575,1,2,,,,,,,,,,,,,,,
95,aan_pilot,TrialSpatialRotation,1,1,1516.944768,1523.437411,1526.390101,15.60117126,2.952690363,1,2,,,,,,,,,,,,,,,
96,aan_pilot,TrialSpatialRotation,2,-1,1533.304869,1539.802449,-1,16.36010075,3,0,2,,,,,,,,,,,,,,,
97,aan_pilot,TrialSpatialRotation,0,1,1543.646454,1550.171339,1552.422687,10.34158516,2.251347303,0,2,,,,,,,,,,,,,,,
98,aan_pilot,TrialSpatialRotation,0,2,1558.26365,1564.776569,1567.35726,14.61719608,2.580690622,0,2,,,,,,,,,,,,,,,
99,aan_pilot,TrialSpatialRotation,1,0,1574.193137,1580.694214,1583.153384,15.92948699,2.459170341,0,2,,,,,,,,,,,,,,,
100,aan_pilot,TrialSpatialRotation,1,1,1589.15698,1595.673923,1597.438198,14.96384215,1.76427412,1,2,,,,,,,,,,,,,,,
101,aan_pilot,TrialSpatialRotation,0,0,1603.244875,1609.75885,1612.700628,14.08789515,2.941778421,1,2,,,,,,,,,,,,,,,
102,aan_pilot,TrialSpatialRotation,1,1,1619.567768,1626.066847,1628.07317,16.32289362,2.006323814,1,2,,,,,,,,,,,,,,,
103,aan_pilot,TrialSpatialRotation,2,2,1633.433445,1639.950395,1642.851502,13.86567712,2.901106596,1,2,,,,,,,,,,,,,,,
104,aan_pilot,TrialSpatialSpan,0,0,1652.974873,1659.413454,1661.488719,19.54142761,2.075265169,1,2,,,,,,,,,,,,,,,
105,aan_pilot,TrialSpatialSpan,2,2,1667.127255,1673.576251,1675.591995,14.1523819,2.015744448,1,2,,,,,,,,,,,,,,,
106,aan_pilot,TrialSpatialSpan,1,1,1681.340146,1687.810471,1689.739417,14.21289063,1.928945541,1,2,,,,,,,,,,,,,,,
107,aan_pilot,TrialSpatialSpan,2,2,1695.63246,1702.095283,1704.395237,14.29231405,2.299954891,1,2,,,,,,,,,,,,,,,
