,type,occurence,index_raw,participant_id,participant_age,participant_gender,time_start,participant_ans,target_ans,response_time,changed_shifted,switch_type,first_switch_rt,accuracy
140,TrialDigitSpan,1,43,rahul_pilot,20,m,610.8990077999999,0,0,1.9899551,,none,,1
141,TrialDigitSpan,1,44,rahul_pilot,20,m,624.9050653,1,1,2.6049623,,none,,1
142,TrialDigitSpan,1,45,rahul_pilot,20,m,640.807812,1,1,1.5817438999999998,,none,,1
143,TrialDigitSpan,1,46,rahul_pilot,20,m,654.2613957000001,0,0,1.8585118999999999,,none,,1
144,TrialDigitSpan,1,47,rahul_pilot,20,m,668.4980412000001,1,1,2.0132961,,none,,1
145,TrialDigitSpan,1,48,rahul_pilot,20,m,682.9896748,2,2,2.3679076,,none,,1
146,TrialDigitSpan,1,49,rahul_pilot,20,m,697.7779281,0,0,2.3074274,,none,,1
147,TrialDigitSpan,1,50,rahul_pilot,20,m,712.4158932999999,0,0,1.9353921000000003,,none,,1
148,TrialDigitSpan,1,51,rahul_pilot,20,m,726.6124225,1,1,1.7786262,,none,,1
149,TrialDigitSpan,1,52,rahul_pilot,20,m,740.9235198,1,1,2.2116639,,none,,1
150,TrialDigitSpan,1,53,rahul_pilot,20,m,755.576365,0,0,2.1824383,,none,,1
151,TrialDigitSpan,1,71,rahul_pilot,20,m,1128.3053380000001,0,0,2.435859,,none,,1
152,TrialDigitSpan,1,2,rahul_testing1,20,m,19.67286706,2,2,1.79949116,1.0,none,1.9844983,1
153,TrialDigitSpan,2,125,aan_pilot,20,f,2063.823944,1,1,2.24093,1.0,none,,1
154,TrialDigitSpan,2,126,aan_pilot,20,f,2078.575995,1,1,2.23746,,none,,1
155,TrialDigitSpan,2,127,aan_pilot,20,f,2093.231315,0,0,2.830675,,none,,1
156,TrialDigitSpan,2,128,aan_pilot,20,f,2109.253629,-1,2,,,none,,0
157,TrialDigitSpan,2,129,aan_pilot,20,f,2118.869588,2,2,1.116002,,none,,1
158,TrialDigitSpan,2,130,aan_pilot,20,f,2131.020627,0,0,2.7091529999999997,,none,,1
159,TrialDigitSpan,2,131,aan_pilot,20,f,2146.72298,0,0,2.739906,,none,,1
160,TrialDigitSpan,2,132,aan_pilot,20,f,2162.364353,0,0,1.7444330000000001,,none,,1
161,TrialDigitSpan,2,133,aan_pilot,20,f,2176.032142,2,2,1.6452330000000002,,none,,1
162,TrialDigitSpan,2,134,aan_pilot,20,f,2189.45788,0,0,2.295987,,none,,1
163,TrialDigitSpan,2,135,aan_pilot,20,f,2204.140984,1,1,2.027152,,none,,1
164,TrialDigitSpan,2,136,aan_pilot,20,f,2218.316178,2,2,1.876866,,none,,1
165,TrialDigitSpan,2,137,aan_pilot,20,f,2232.53205,1,1,2.359475,,none,,1
166,TrialDigitSpan,2,138,aan_pilot,20,f,2247.19829,2,2,2.395184,,none,,1
167,TrialDigitSpan,2,139,aan_pilot,20,f,2262.4646940000002,0,0,2.4507380000000003,,none,,1
168,TrialDigitSpan,2,140,aan_pilot,20,f,2277.4191339999998,0,0,2.1159369999999997,,none,,1
169,TrialDigitSpan,2,141,aan_pilot,20,f,2291.6438940000003,0,0,2.7319720000000003,,none,,1
170,TrialDigitSpan,2,162,aan_pilot,20,f,2598.399864,2,2,2.380306,,none,,1
171,TrialDigitSpan,2,50,dan_pilot,24,m,684.3694856000001,1,1,1.5331385,1.0,none,,1
172,TrialDigitSpan,2,51,dan_pilot,24,m,698.2698998,2,2,1.0916622,,none,,1
173,TrialDigitSpan,2,52,dan_pilot,24,m,710.9727466,2,2,1.676482,,none,,1
174,TrialDigitSpan,2,53,dan_pilot,24,m,724.6454761,1,1,1.9185307,,none,,1
175,TrialDigitSpan,2,54,dan_pilot,24,m,738.5989742,1,1,1.8466105,,none,,1
176,TrialDigitSpan,2,55,dan_pilot,24,m,752.0565132999999,2,2,1.2137124,,none,,1
177,TrialDigitSpan,2,56,dan_pilot,24,m,765.1201437000001,0,0,2.2211208,,none,,1
178,TrialDigitSpan,2,57,dan_pilot,24,m,779.3911731000001,0,0,1.4016971,,none,,1
179,TrialDigitSpan,2,58,dan_pilot,24,m,792.2172911,0,0,1.6318416999999998,,none,,1
180,TrialDigitSpan,2,59,dan_pilot,24,m,929.5268702999999,2,2,1.2097441999999998,,none,,1
181,TrialDigitSpan,2,60,dan_pilot,24,m,941.7959366,1,0,2.5732847000000003,,none,,0
182,TrialDigitSpan,2,61,dan_pilot,24,m,957.6386945,2,2,1.8178415,,none,,1
183,TrialDigitSpan,2,62,dan_pilot,24,m,971.2851465,1,1,0.9810896000000001,,none,,1
184,TrialDigitSpan,2,63,dan_pilot,24,m,983.1699846000001,0,0,0.8486568999999999,,none,,1
185,TrialDigitSpan,2,64,dan_pilot,24,m,995.7415537999999,0,0,0.936944,,none,,1
186,TrialDigitSpan,2,65,dan_pilot,24,m,1008.027499,1,1,0.8645290000000001,,none,,1
187,TrialDigitSpan,2,66,dan_pilot,24,m,1020.343175,2,2,1.526689,,none,,1
188,TrialDigitSpan,2,67,dan_pilot,24,m,1033.9901320000001,2,2,1.613985,,none,,1
189,TrialDigitSpan,2,68,dan_pilot,24,m,1047.585504,2,2,1.382849,,none,,1
190,TrialDigitSpan,2,69,dan_pilot,24,m,1060.980492,0,0,0.923058,,none,,1
191,TrialDigitSpan,2,156,dan_pilot,24,m,2393.939827,1,1,1.6779709999999999,,none,,1
