,index_raw,index,participant_id,block,type,target_ans,participant_ans,time_start,time_response_enabled,time_response_submitted,time_block,response_time,accuracy,changed,occurence
55,55,5,adrian_pilot,1,TrialSpatialSpan,0,-1,451.16326380000004,457.5550892,-1.0,14.8577511,3.0,0,0,1
56,56,6,adrian_pilot,1,TrialSpatialSpan,0,0,461.4563432,467.84112360000006,469.7999563,10.293079400000002,1.9588327,1,0,1
57,57,7,adrian_pilot,1,TrialSpatialSpan,0,0,582.5150735000001,588.9259779,591.3497342999999,17.713376,2.4237564,1,1,2
58,58,8,adrian_pilot,1,TrialSpatialSpan,2,2,597.6405277000001,604.0822504,605.9824321000001,15.125454199999998,1.9001816999999999,1,0,2
59,59,9,adrian_pilot,1,TrialSpatialSpan,0,0,611.3655589,617.7768836,619.4197009,13.7250312,1.6428173,1,0,2
60,60,10,adrian_pilot,1,TrialSpatialSpan,1,1,625.1533756,631.5706306,633.4084102999999,13.787816699999999,1.8377796999999998,1,0,2
61,61,11,adrian_pilot,1,TrialSpatialSpan,0,2,639.2063646,645.621304,646.8605158,14.052989000000002,1.2392118,0,0,2
62,62,12,adrian_pilot,1,TrialSpatialSpan,1,1,651.92522,658.3340662,660.7252292999999,12.7188554,2.3911631,1,0,2
63,63,13,adrian_pilot,1,TrialSpatialSpan,0,0,667.2894526,673.6917005,675.3129692000001,15.3642326,1.6212687,1,0,2
64,64,14,adrian_pilot,1,TrialSpatialSpan,0,0,681.2033422000001,687.6090391,690.0633502000001,13.913889600000001,2.4543111,1,0,2
65,65,15,adrian_pilot,1,TrialSpatialSpan,2,2,832.361269,838.7577932,840.2198749,17.392635600000002,1.4620817,1,1,3
66,66,16,adrian_pilot,1,TrialSpatialSpan,0,-1,845.7836392,852.2044191,-1.0,13.4223702,3.0,0,0,3
67,67,17,adrian_pilot,1,TrialSpatialSpan,0,0,855.6989579,862.1161785,863.7693333999999,9.915318699999998,1.6531548999999999,1,0,3
68,68,18,adrian_pilot,1,TrialSpatialSpan,2,2,869.1998312000001,875.5818183,878.3471440999999,13.5008733,2.7653258,1,0,3
69,69,19,adrian_pilot,1,TrialSpatialSpan,2,2,885.3964751,891.8007295,893.5535851,16.1966439,1.7528556,1,0,3
70,70,20,adrian_pilot,1,TrialSpatialSpan,2,2,898.7062243999999,905.1207162999999,906.6870732000001,13.309749300000002,1.5663569,1,0,3
71,71,21,adrian_pilot,1,TrialSpatialSpan,0,0,911.8364062,918.2598436000001,920.7376017999999,13.1301818,2.4777582000000002,1,0,3
72,72,22,adrian_pilot,1,TrialSpatialSpan,0,0,1038.717955,1045.118396,1046.779825,13.712806,1.661429,1,1,4
73,73,23,adrian_pilot,1,TrialSpatialSpan,0,0,1052.429209,1058.827013,1060.9121890000001,13.711254,2.0851759999999997,1,0,4
74,74,24,adrian_pilot,1,TrialSpatialSpan,0,0,1066.551891,1072.971384,1074.527382,14.122682000000001,1.555998,1,0,4
75,75,25,adrian_pilot,1,TrialSpatialSpan,1,1,1080.0089580000001,1086.392489,1088.510884,13.457067000000002,2.118395,1,0,4
76,76,0,adrian_pilot,2,TrialDigitSpan,2,2,1543.180756,1549.537383,1550.800945,17.217194,1.263562,1,1,4
77,77,1,adrian_pilot,2,TrialDigitSpan,0,0,1556.37604,1562.7545699999998,1564.864123,13.195284,2.109553,1,0,4
78,78,2,adrian_pilot,2,TrialDigitSpan,0,0,1571.2984529999999,1577.666228,1579.0102880000002,14.922413,1.34406,1,0,4
79,79,3,adrian_pilot,2,TrialDigitSpan,0,0,1584.500999,1590.8806880000002,1592.572226,13.202546,1.6915380000000002,1,0,4
80,80,4,adrian_pilot,2,TrialDigitSpan,0,0,1597.9275,1604.334172,1606.1021779999999,13.426501000000002,1.7680060000000002,1,0,4
81,81,5,adrian_pilot,2,TrialDigitSpan,2,2,1611.7073460000001,1618.121754,1619.199567,13.779846,1.077813,1,0,4
82,82,6,adrian_pilot,2,TrialDigitSpan,1,1,1715.760873,1722.170442,1724.650341,15.352954,2.479899,1,1,5
83,83,7,adrian_pilot,2,TrialDigitSpan,0,0,1730.987153,1737.410109,1739.414387,15.22628,2.004278,1,0,5
84,84,8,adrian_pilot,2,TrialDigitSpan,2,2,1745.4051359999999,1751.84328,1753.6975899999998,14.417983,1.85431,1,0,5
85,85,9,adrian_pilot,2,TrialDigitSpan,2,2,1759.185904,1765.576266,1767.665702,13.780768,2.089436,1,0,5
86,86,10,adrian_pilot,2,TrialDigitSpan,0,0,1773.6034300000001,1780.0182,1782.501694,14.417526,2.483494,1,0,5
87,87,11,adrian_pilot,2,TrialDigitSpan,0,0,1789.163639,1795.5483780000002,1796.724785,15.560209,1.176407,1,0,5
88,88,12,adrian_pilot,2,TrialDigitSpan,1,1,1801.919259,1808.290004,1810.298853,12.75562,2.008849,1,0,5
89,89,13,adrian_pilot,2,TrialDigitSpan,2,2,1816.3766280000002,1822.774731,1823.928915,14.457369,1.154184,1,0,5
90,90,14,adrian_pilot,2,TrialDigitSpan,2,2,1829.1627809999998,1835.5696899999998,1837.119581,12.786153,1.549891,1,0,5
91,91,15,adrian_pilot,2,TrialDigitSpan,1,1,1936.3201989999998,1942.692961,1944.2384,16.778787,1.545439,1,1,6
92,92,16,adrian_pilot,2,TrialDigitSpan,0,0,1949.1305760000002,1955.5042629999998,1957.498682,12.810377,1.994419,1,0,6
93,93,17,adrian_pilot,2,TrialDigitSpan,1,1,1963.1096579999999,1969.5116100000002,1971.2063510000003,13.979082,1.694741,1,0,6
94,94,18,adrian_pilot,2,TrialDigitSpan,0,0,1977.2258760000002,1983.696789,1985.4541350000002,14.116218,1.7573459999999999,1,0,6
95,95,19,adrian_pilot,2,TrialDigitSpan,1,1,1991.30007,1997.6992649999997,1999.590821,14.074194,1.8915560000000002,1,0,6
96,96,20,adrian_pilot,2,TrialDigitSpan,1,1,2004.8857690000002,2011.264825,2012.9411989999999,13.585698999999998,1.6763740000000003,1,0,6
97,97,21,adrian_pilot,2,TrialDigitSpan,1,1,2018.9134350000002,2025.329329,2026.3714920000002,14.027666,1.042163,1,0,6
98,98,22,adrian_pilot,2,TrialDigitSpan,1,1,2031.4795219999999,2037.868436,2039.589121,12.566087,1.7206849999999998,1,0,6
99,99,0,adrian_pilot,2,TrialSpatialRotation,0,0,1287.146567,1293.569395,1295.849391,18.488758999999998,2.279996,1,1,4
100,100,1,adrian_pilot,2,TrialSpatialRotation,1,2,1301.8985810000001,1308.363284,1311.04785,14.752014,2.684566,0,0,4
101,101,2,adrian_pilot,2,TrialSpatialRotation,1,1,1317.242679,1323.740315,1325.649734,15.344098,1.909419,1,0,4
102,102,3,adrian_pilot,2,TrialSpatialRotation,0,0,1331.783258,1338.216902,1340.920309,14.540579000000001,2.703407,1,0,4
103,103,4,adrian_pilot,2,TrialSpatialRotation,1,1,1347.79098,1354.251942,1356.1909759999999,16.007722,1.939034,1,0,4
104,104,5,adrian_pilot,2,TrialSpatialRotation,0,0,1361.7537109999998,1368.245259,1370.7675,13.962731,2.522241,1,0,4
105,105,6,adrian_pilot,2,TrialSpatialRotation,1,1,1376.991736,1383.4693,1385.964025,15.238025,2.494725,1,0,4
106,106,7,adrian_pilot,2,TrialSpatialRotation,1,1,1392.2263,1398.647645,1400.9810029999999,15.234564,2.333358,1,0,4
107,107,8,adrian_pilot,2,TrialSpatialRotation,2,1,1407.410934,1413.8567369999998,1416.724297,15.184633999999999,2.8675599999999997,0,0,4
108,108,9,adrian_pilot,2,TrialSpatialRotation,0,0,2048.573414,2055.030479,2056.498132,17.093892,1.467653,1,1,5
109,109,10,adrian_pilot,2,TrialSpatialRotation,1,1,2061.412824,2067.919591,2069.975359,12.83941,2.055768,1,0,5
110,110,11,adrian_pilot,2,TrialSpatialRotation,2,2,2075.401252,2081.820403,2084.094693,13.988428,2.27429,1,0,5
111,111,12,adrian_pilot,2,TrialSpatialRotation,0,0,2089.971736,2096.444309,2098.251544,14.570484,1.807235,1,0,5
112,112,13,adrian_pilot,2,TrialSpatialRotation,1,1,2104.269299,2110.709618,2112.487642,14.297563,1.7780240000000003,1,0,5
113,113,14,adrian_pilot,2,TrialSpatialRotation,1,1,2117.928643,2124.414849,2126.6117870000003,13.659344,2.1969380000000003,1,0,5
114,114,15,adrian_pilot,2,TrialSpatialRotation,1,1,2132.88835,2139.378235,2141.579548,14.959707,2.2013130000000003,1,0,5
115,115,16,adrian_pilot,2,TrialSpatialRotation,2,2,2147.32992,2153.763674,2156.0863640000002,14.44157,2.32269,1,0,5
116,116,0,adrian_pilot,2,TrialSpatialSpan,2,-1,1218.332948,1224.676904,-1.0,138.32398999999998,3.0,0,1,1
117,117,1,adrian_pilot,2,TrialSpatialSpan,2,2,1228.248195,1234.63799,1235.949771,9.915247,1.3117809999999999,1,0,1
118,118,2,adrian_pilot,2,TrialSpatialSpan,2,2,1240.961416,1247.384614,1248.593959,12.713221,1.2093450000000001,1,0,1
119,119,3,adrian_pilot,2,TrialSpatialSpan,1,1,1253.987169,1260.352962,1262.765805,13.025753,2.412843,1,0,1
120,120,4,adrian_pilot,2,TrialSpatialSpan,0,0,1268.657808,1275.083134,1277.496548,14.670639000000001,2.413414,1,0,1
121,121,5,adrian_pilot,2,TrialSpatialSpan,2,-1,1423.3362300000001,1429.723888,-1.0,15.925296,3.0,0,1,2
122,122,6,adrian_pilot,2,TrialSpatialSpan,2,2,1433.213403,1439.649492,1441.636951,9.877172999999999,1.987459,1,0,2
123,123,7,adrian_pilot,2,TrialSpatialSpan,0,-1,1447.082124,1453.471618,-1.0,13.868720999999999,3.0,0,0,2
124,124,8,adrian_pilot,2,TrialSpatialSpan,1,1,1457.576942,1464.012184,1466.123866,10.494817999999999,2.111682,1,0,2
125,125,9,adrian_pilot,2,TrialSpatialSpan,0,1,1472.26971,1478.688143,1481.56307,14.692768,2.874927,0,0,2
126,126,10,adrian_pilot,2,TrialSpatialSpan,2,2,1487.866284,1494.259789,1495.623209,15.596573999999999,1.36342,1,0,2
127,127,11,adrian_pilot,2,TrialSpatialSpan,1,1,1500.564723,1506.991322,1509.357332,12.698439,2.3660099999999997,1,0,2
128,128,12,adrian_pilot,2,TrialSpatialSpan,1,-1,1515.740957,1522.125499,-1.0,15.176234,3.0,0,0,2
129,129,13,adrian_pilot,2,TrialSpatialSpan,0,0,1525.963562,1532.336511,1534.1482369999999,10.222605,1.811726,1,0,2
130,130,14,adrian_pilot,2,TrialSpatialSpan,0,-1,1624.042097,1630.434446,-1.0,12.334750999999999,3.0,0,1,3
131,131,15,adrian_pilot,2,TrialSpatialSpan,0,-1,1634.106023,1640.5157359999998,-1.0,10.063925999999999,3.0,0,0,3
132,132,16,adrian_pilot,2,TrialSpatialSpan,2,2,1644.373633,1650.751471,1651.94894,10.267610000000001,1.1974690000000001,1,0,3
133,133,17,adrian_pilot,2,TrialSpatialSpan,2,2,1656.80061,1663.264084,1665.705141,12.426977,2.441057,1,0,3
134,134,18,adrian_pilot,2,TrialSpatialSpan,2,2,1672.042623,1678.4600480000001,1679.9670469999999,15.242013,1.506999,1,0,3
135,135,19,adrian_pilot,2,TrialSpatialSpan,0,0,1685.5534739999998,1691.964435,1694.0691129999998,13.510851,2.104678,1,0,3
136,136,20,adrian_pilot,2,TrialSpatialSpan,2,2,1700.4079190000002,1706.7651039999998,1709.40467,14.854445000000002,2.639566,1,0,3
137,137,21,adrian_pilot,2,TrialSpatialSpan,2,2,1845.911688,1852.2941449999998,1855.156226,16.748907,2.8620810000000003,1,1,4
138,138,22,adrian_pilot,2,TrialSpatialSpan,0,1,1861.485343,1867.908973,1870.060807,15.573654999999999,2.151834,0,0,4
139,139,23,adrian_pilot,2,TrialSpatialSpan,1,1,1875.852223,1882.22826,1883.837916,14.366879999999998,1.609656,1,0,4
140,140,24,adrian_pilot,2,TrialSpatialSpan,0,2,1889.0815469999998,1895.4803969999998,1898.210342,13.229323999999998,2.7299450000000003,0,0,4
141,141,25,adrian_pilot,2,TrialSpatialSpan,1,1,1905.027303,1911.429951,1913.6626899999999,15.945756,2.232739,1,0,4
142,142,26,adrian_pilot,2,TrialSpatialSpan,0,0,1919.541412,1925.9024399999998,1927.4831760000002,14.514109,1.5807360000000001,1,0,4
143,143,27,adrian_pilot,2,TrialSpatialSpan,1,1,2162.11476,2168.539667,2171.457048,14.784839999999999,2.9173810000000002,1,1,5
