,index_raw,participant_id,participant_age,participant_gender,type,time_start,time_response_submitted,participant_ans,target_ans
1013,124,aan_pilot,20,f,TrialSpatialRotation,2997.9698350000003,2.507284,0,0
1014,125,aan_pilot,20,f,TrialSpatialRotation,3013.111727,,-1,2
1015,126,aan_pilot,20,f,TrialSpatialRotation,3023.193398,1.81933,0,0
1016,127,aan_pilot,20,f,TrialSpatialRotation,3036.721821,2.108499,0,2
1017,128,aan_pilot,20,f,TrialSpatialRotation,3051.55224,2.105027,1,1
1018,129,aan_pilot,20,f,TrialSpatialRotation,3065.902522,2.286562,2,1
1019,130,aan_pilot,20,f,TrialSpatialRotation,3081.029534,1.8996810000000002,2,2
1020,131,aan_pilot,20,f,TrialSpatialRotation,3095.00337,1.8267689999999999,0,0
1021,132,aan_pilot,20,f,TrialSpatialRotation,3109.484584,2.439332,0,0
1022,133,aan_pilot,20,f,TrialSpatialRotation,3124.517856,2.4978569999999998,2,0
1023,134,aan_pilot,20,f,TrialSpatialRotation,3140.061754,2.404114,2,2
1024,135,aan_pilot,20,f,TrialSpatialRotation,3155.664911,2.473027,0,0
1025,136,aan_pilot,20,f,TrialSpatialRotation,3171.0558079999996,1.8347060000000002,1,1
1026,137,aan_pilot,20,f,TrialSpatialRotation,3184.7251850000002,2.6942720000000002,2,2
1027,138,aan_pilot,20,f,TrialSpatialRotation,3200.202377,2.489922,1,0
1028,139,aan_pilot,20,f,TrialSpatialRotation,3434.893613,2.088162,1,1
1150,140,aan_pilot,20,f,TrialSpatialRotation,3449.3351420000004,2.703698,1,2
1151,141,aan_pilot,20,f,TrialSpatialRotation,3465.1838350000003,1.5261930000000001,1,1
1152,142,aan_pilot,20,f,TrialSpatialRotation,3478.426057,2.876801,0,0
1153,143,aan_pilot,20,f,TrialSpatialRotation,3494.423063,2.180914,0,0
1154,144,aan_pilot,20,f,TrialSpatialRotation,3508.8556869999998,2.678898,2,2
1155,145,aan_pilot,20,f,TrialSpatialRotation,3524.0571159999995,2.252834,1,1
1156,146,aan_pilot,20,f,TrialSpatialRotation,3538.686142,2.876307,0,0
